"json_extract( `ai_response`, '$.data.content')"
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few steps over to them.\n\"" stop! \"" Doughs shut at them with a land voice. The man looked at\nhim, continued to assaulting. \"" I have called phinman. Daylar said, listening to the\ncought\nword. the man tried to run. seeing this, Doughs immediately him, didn't leave him\nruning. It didn't take long time before police got, Daylis the man to the police\nThe woman who saved by Pangles made a simely a attitude to Dangles.\n\"" My nume is lemi thinks to saving me. \"" Dangles didn't say to much. he most\nsay to\nwere back to the bus, there wre many passengers waiting to him.\npassengers conveys\n  Two weeks after the assault, Douglas visited Terri at her home. _ lervi is already recovered she\nshowed her attitude to Dayle again and ask him? Why did yous save me, you\ngirl a bus driver you had many passages on the bis \"" without thinking\nto much at. that time, There was only one thing in his mind that He must.\nto save her or she would die. Though it's not on my rate, I condue see a people\ndying in front of me, You need my help. \"" listening his words. Terr was so tuched\nthat tewing welling up in her eyes. It was not until that the slermlized that\nIt doesn't matter what rate is\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas ran the few sieps over to them.\n\""\nsee\n  You are killing her! \"" shouted at the man, Douglas tried to stop\nhim. However, he failed. The man stopped assaulting the woman, instead, he\nturned to assault Douglas. Douglas went to great lengths to protect\nhimself from assault. but it didn't work. The woman came to prevent\nthe man from assaulting Douglas at the moment Dauglas was likely\nto die. The man pushed away the woman, and she was badly hurt.\n  Just at the moment, the police came and took the man away. It\nwas June Jurrett who called the police and rushed Danglas and the\nwoman, who called Terri to the hospital.\n  Two weeks after the assault, Douglas visited Terri at her home. _ Her injuries were almost recover.\n- Terri expressed her appreciate to Douglas for his save at the risk\nof hurt. Douglas told her it. didn't matter. and it was her who\nsave him when he was nearly to die - under the man's assault.\nThey looked at each other and laughed. Since then, they have\nbecome good friends. Douglas often came to Terri's house to take\nher around as she was not convinced. There won't be a warmer\nthing than helping a person who you never see before.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few steps over to them.\nTo stop the man from attracking for the woman. Danglas tried\nto spreate from two of them, to let the wo men out of danger.\n  As fast as he could. rushed there and pushed the man\nto one side and let the women behind him to stop her for\nthe second attrack With the man's appiontment. not to take on the\nbusiness, Danglas refused and fought for the man to got the woman's wallet.\n  When Terri saw this. she get down the bus and let the women\nto some where safe. Finally, the woman get her wallet\n  Two weeks after the assault, Douglas visited Terri at her home. _ - After for this. Terri said\nsorry for Danglas of her impoliet. Thanks for his help to the\nBecause the woman was her best friend. Because his bravery,\nso her can release the danger.\n"""
"""  He grabbed a neavy four-foot-long stick from a consiruction siic nearby. Dougias ran the few sieps over io them.\n  His heart punding rapidly, he was aware that he was doing\nsomething dangerly. Shouting in his loudest voice, he ordered\n\"" Stop? This incident is not allowed by the law. \"" To\nhis astonishment, perhaps that his old body was thought\nto be no threat for the young man, the young man was\nstill attacking the woman without interruption. Without\nhesitation, having the defination of killing the man, he went\ntoward the man to preserve the woman. Finally, with his\nkind agency, theman was hitted to the road, and the woman who\nnamed Terri\nate and sound.\n\"" Wo beeks after he assaul, bouglas visited terriat her home. He knew that it must be\na shock for a lonely woman who had no choice but to\nuse walker to walk. And it was necessary that he take\ncare of the woman. \"" How are you? \"" he asked. I'm\n'm\ntime, thank you, \"" with gettinde, ferri answered. If he\nhadn't given her a helping hand, the end of the assault would\nhave been greatly different, as all of the people withessing\nthe attack known. She said You are the light which brings\nmade\nmy life bright. Your unselfish out come really\nmy entire word upside down. You accurred to me that kindness is\nin all places\n"""
"""  He grabbed a heavy four-foot-iong stick from a construction site nearby. Douglas ran the few isieps over to them.\n  Douglas shouted to stop the man and stood in front of the\nwoman to protect her. Dauglas could feel the anger growing\nbubbling up inside him, his hands culling into fists. Looking at\nhis performance, the young man took a knife on his hand\n  With the young man walking nearly, Donglas was almost frozen\nwith fear. But he told himself to calm down. Donglas took a deep\nbreath to get the woman's wallet, but the young hurt him and\nran away. Douglas was rushed to the hospital. The bus passengers\nand people who walked by mithessing the attack gasped\n  Two weeks after the assault, Douglas visited Terri at her home. _ To Terri's surprise, she\nwelcome him with happiness and asked him about his injury.\n  Dauglas answered patiently smile, tolding her the man\nwho staned at her and stole her wallet was punished. Listening\nto this, Terri thanked for Douglas genuinely, if he didn't\nstand out to help her on that day, the consequence couldn't\nknow how much. Douglas accepted her thankness, a smile creeping\nacross his face. On the way home, Douglas knew that being\nhelpful and brave could bring more meaningful things!\n"""
"""  He grabbed a neavy four-foot-long stick from a consiruction siie nearby. Douglas ran the few steps over to them.\n\"" Step! \"" Douglas shouted at the man. However, the man looked at\nhim up and down, continuing his assault. Without hesitate, Deuglas\ncalled the police. Hearing his call the man stopped his attack and wanted\nto run away. At that moment, Douglas dragged him and prevented\nhim from running. Meanwhile, he pulled up the woman and gave her\nwallet back. It wasn't long before the police arrived at the\nsidewalk. After the police took the man to the police station, Douglas\nsent thewoman to the hospital and had a check. Fortunately,\nthe woman didn't get injured greatly.\n  Two weeks after the assault, Douglas visited Terri at her home. _ With the door opened, Terrigare\nDouglas a big hug. To her excitement, Terri expressed her gratitude\nfor Douglas. \"" I was so scered at that time, I really didn't know\nill\nwhat to do without you. \"" Terri said, with tears in her eyes. \"" I prepare\na present for you please receive it. \"" She gave a gift to\nDouglas. \"" Sorry, I can't accept it. I believe that whoever spotted\nthe assault would help you. Otherwise, I visit you to check that\nwhether you have been recovered, not for gift. \"" Vltimately, Danglas\ndidn't accept the gift because be did every thing just for his\nheart\n"""
"""  He grabbed a heavy four-foot-long stick from a construction siie nearby. Douglas ran the few steps over to them.\n  He quickly caldon the police and tried to make the young man calm down and\nstop his assault. He let the young man don't continued his assault and talked him that\nhe take away the woman's wallet and the police is coming. When the police arrived, the young\nman quickly was controlled and the woman was drivered to the truntment\n  Two weeks after the assault, Douglas visited Terri at her home.\n"""
"""  He grabbed a neavy four-foot-iong stick from a consiruction site nearby. Douglas ran the few steps over to them.\n  Dongles Instead of shouting at the young man, Donglas said : \"" Child,\nyouare still young, you still have time to achieve\nyour life's ralue, don't make stupid mistakes. \"" The young man\nsaid nothing, just looking at him. Donglas countined to say : \""\n  Two weeks after the assault, Douglas visited Terri at her home.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas ran the few steps over to them.\nWithout saying nothing, he used the stick to hit the man. The man was\ninjured. Seeing the condition became bad, he wanted to run. But\nPouglas is faster than him. For a while, Dongles caught his\nhand, and said loudly. \"" No moving \"". The man was scared to stand there.\nif\n  Then Douglas took the wallet and called police. At this moment,\nthe woman come. \"" Here is your wallet. 'Be careful. \"" The\nwoman told him the her name is Teni and invited him to her home\n  Two weeks after the assault, Douglas visited Terri at her home. _ Knocking the door, then there\nis a face come. It's Terri. See Pangles, She opened door and they come\nin to. When Daylas got into the house, he was shocked that there were\nmany people in the house including Into fore tr. They waiting\n  June Jaretta said the he is a big hero and hugged with him. Everyone was\nlost in joyness. Pouglas never knowed that helping. thers can achieve\nso much happyness. Now he thought that help others, help himself\n"""
"""  He grabbed a heavy four-foot-iong stick from a construction site nearby. Dougias ran the few steps over to them.\n  He stared at the man angrily, warning the man\nto stop his violence. The man ignored Douglas. So\nangry as Douglas was, he put up the four-foot-long stick and\nwanted to give the man a colour. On the verge of fighting\nthe police arrived and stopped them. It was June who call\nthe police and prevented all of them from injured. The woman\ntold Dauglas her name and adress, so that she can\nexpress her thanks toward all the people helped her.\n  Two weeks after the assault, Douglas visited Terri at her home. Terri couldn't thank Pouglas\ntoo much. She thought Douglas was a light that helped her\nher\nat the very moment. Douglas told that it was the most\npopper thing he did. Later, June Jarrett and othe passengers\nalso arrived. They got together and cheered for the victory\nof kindness\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few steps over to them.\n  He caught the young man and try to stop him from assaulting her. The\nyoung man saw that there was an old man who is catching him. he paid\nno attention to Donglas and continued to attacking the woman. Daughts knew\nhe is too old to reduce a young man from assaulting the woman. so, he had\nno choice but to use the heavy four-foot-long stick to hunt the young man.\nHe wrestled with protecting the woman. Finally, theyoung man fell on the\nside walk and the police arrived. According to protect others from being\nhurt. Douglas logal in laws.\n  Two weeks after the assault, Douglas visited Terri at her home. Terri thanked him and wanted to\ngive him something. But Douglas didn't adapt and said \"" I just\nwant to save people in danger, not want to get something. Just offering, not\nsuffering. \"" Terri thanked him and almost crying Without you, I have been\ndied. \""\n"""
"""  He grabbed a heavy four-foot-iong stick from a construction site nearby. Douglas ran the few steps over to them.\n  Two weeks after the assault, Douglas visited Terri at her home.\n"""
"""  He grabbed a heavy four-foot-iong stick from a construction site nearby. Dougias ran the few steps over to them.\n  Winston Douglas kicked the muscular young man heavily when the\nmuscular man pay no attention to him. Then Winston fighted with\nthe muscular man. June Jarrett shouted that she had called the\npolice. The muscular young m in was fear and then\n- rid of the fighted with Wiston. Wiston Donglas called 120 to\nthewoman to the hospital. June Jarrett took video of\nthewhole assault and sent it to the Internet.\n  Two weeks after the assault, Douglas visited Terri at her home. Douglas said the muscular man\nwas caught and gave the wallet back to Terri, Terri said she\nso thankful about Douglas shelp and bravey. Regradless of all\n  Poungles\ndanger, Douglas saved Terri with his bravey, rideo of\nacts of bravey spread through social mediy. Douglas said everyone\nshould cared about themselves and whenever the assqulf happen, he\nwill help the victim again.\n"""
"""  He grabbed a heavy four-foot-iong stick from a construction siie nearby. Dougias ran the few steps over to them.\n  Attracted by Dengla, he can to the Danglas giving up the old\nTo avoid more injuries. Danglus attracted him to themiddle of the\nroad. However, the man hit Danglus with the stick. which\nmade him injuried. Luckily, more people came and helped\nDanglas control the young\n, the police came and\npicked up the young man The woman who was heavily hurted\nby the young man, named Terr it was sent to the hospital.\nhas\n  Two weeks after the assault, Douglas visited Terri at her home. The injuries of\nrecovered. And she was grateful to Ranglas who saved her from\nthe assault of the man. Not thinking that\na hero.\n  Danglus thought it is his duty to help people as a diver for\nthe Metropolitan Atlanta Krancit Authority. It\nis people who witnessed the assault to prevent it togehter \"" he said.\nAs a reward for his behavior, Douglus was paised us\n- one of the greatest bus divers by the MARTA.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few steps over to them.\n  Two weeks after the assault, Douglas visited Terri at her home.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction siie nearby. Dougias ran the few steps over to them.\n  But the man soon found him and started to attack\nDonglas. Douglas tried his best to fight with him, but his\nenergetic was running out. Seeing that tough situasion,\nThe bus passengers couldn't stop to worry about Douglas.\nWhile the man caught Doughs, the bus passengers came\nand fight with theman. Danglas had the choice to fight back.\nHe used the stick to attack the man 's head. Finally,\nthe man was caught to the police station The woman\nthanked for them and fold them her name Terri.\nTwo weeks after the assault, Douglas visited Terri at her home. _ Terri had become her\nnormal life. Donglas was happy to see that. Terrifold\nhim she was so afriad that time and thanked for Doughs.\nDonglas explain that it was what he need do. Dongles\nand Terri both smiled.\n"""
"""  He grabbed a heavy four-foot-iong stick from a consiruction site nearby. Douglas ran the few steps over to them.\n  Dougla felt angry and her face turned red. Dougla shouted : \""\n_ You must stop now \"" But he didn't listen to Dougla's words\nand ran more fast. However, it was no use. Dougla used\na heavy four-foot-long stick to assault their body. He\nlooked at Dougla's angry face and afraid. Then Dougla asked\n- - he return the wallet to the woman. - I'de noded and\ndidn't wanted to fright him. Finally, The woman\nreceived the yeallet\n  Two weeks after the assault, Douglas visited Terri at her home. _ _ Douglas asked Tern if her\nbody had been recovered. Terri looked at Dauglas and thanked\nto her. Ten ; slowly said : \"" I had considered he would kill me.\nand it would be a best horror scene in her life, but you didn't\ncare about yourself and help me assault the man \"" After words.\nTerri's eyes turned red and couldn't help to cry. The Terri\nhuged Douglas again and again. Douglas said in a warm\nspice \"" It is all my need to do. \"" Terri was very grateful and\nsended some gifts to her and incited her to have dinner.\nDouglas agreed.\n"""
"""  He grabbed a heavy four-foot-long stick from a construcion site ncarby. Douglas ran the few sieps over to them.\n\"" Stop! \"" Douglas shouted to the man. The man looked at Doughs\nfor a while but continued to assault the Danglas ran to\nhim and wanted to stop him. But the man hold a kife on his\nhand, Douglas couldn't touch him. The man was very angry and began\nto attack with the knife. The woman shouted louder and then\nthe man turned his head to her. Just at this moment, Danglas\nrushed to him and controlled him immediately. All the people sheered\n\"" Are you okey? What's your name? \"" Donglus asked the woman. \"" I'm fine.\n11\nmy hame is Terri.\n  Two weeks after the assault, Douglas visited Terri at her home. _ He told _ Terri that the man\nWho assault her has been punished by the police and let her\nlay off her heart. Terricouldn't say thanks to him too much.\nThen they had a meal together\n"""
"""  He grabbed a heavy four-foot-iong stick from a construction site nearby. Dougias tan the few steps over to them.\n  The man hurried to run into a road which was small and narrow\n  Douglas still tried to follow him despite he was old. The passengers\n  J\nwho was warm-hearted called 110 assoon as possible. The man hid to\nwas\nwait Douglas so that he can hurt Douglas. However, Dauglas aware that\n- he was in danger. The man rushed out and used a knife towards\n  Douglas. Immediately Douglas hid it and hit the man's arms. He prayed\nfor police to reach here quickly. the police arrived\nthere when Dong las hard to assault the man. He was injured. But he\ninsisted on sending Terri to hospital before him.\n  Two weeks after the assault, Douglas visited Terri at her home. _ She was good after treatment.\nShe was glad to see Douglas coming to her home. She wanted to give\nDouglas many things which she thought can on thehalf of her thanks.\n  However, Douglias didn't accepted He thought it was the common\nthing he should do. \"" If you want to thank me, you can help more\npeople when they are in danger. Just like what I did. \"" Dauglas said.\nlerri remembered these words forever. When she saw someone who was\nin danger, she would help them without hesitation. If they wanted to\nthank her, she would give these words to them. She hoped more people could be\na kind and helpful person.\n"""
"""  He grabbed a heavy four-foot-iong stick from a construction siie nearby. Douglas ran the few is steps over to them.\n  Two weeks after the assault, Douglas visited Terri at her home.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few steps over to them.\n  He tried to stop the man's assault. But the young man was much more\nmuscular than him. After a while, Douglas failed. The passangers came to help his\nFinally. The young man failed and ran quickly from the area. The woman was bleed\ntoo much and was in a bad position. She must be sended to hospital quickly\n  Douglas told the other passengers about this passagers all agreed to him, Donglas\ntook the woman to the hospital by bus. From thecoming police. He know that the\nwoman's hame was lerri.\n  Two weeks after the season, Terri was fine and has very\nhappy about his coming. Terris family was also thankful to Douglas. Terri said\na trying\nthat she was shopping before assaulted. Without Donglas's help. She may be die that time\nIt is responsible forme to help you \"". Doughas said \"" Although it was not on my busroute. \""\nagain\n  Getting out from her house, he saw the big sun and the blooming flowers. Dough As laugher\n  I\n\"" It just on the route of my mind.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few sieps over to them.\nupto\n\"" Hey, hurry our behavior, Unless I will attack you, hurry to The man saw him\nand stopped his behavior, he quickly tured behind to run but some bus pass on\nhis way and atched him everyone helped the women to take bur her wallet\nand called 911. some bus pass angers asked the woman the situation and gave her some\nwater or food to help her calm down, Finally, the police arrived there and the\nwoman to thospital, They also taken Dougles, June ask thesituation and catched the\nman.\n  Two weeks after the assault, Douglas visited Terri at her home. \"" Thank you for, it you don't\nscream, I will not do it. \"" I believe you also will do it I don't scram, because\nI think you are a good people. \"" Douglas smiled and said : \"" Do you want to vist\nthat woman, \"" \"" ok, Let's go \"". The woman said \"" thank you to them and gave\nthem a girl.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas ran the few steps over to them.\n  When\nthe young man. heard the voice of car, he stopped. from attacking. But he continued\nhis assault as soon as he saw the man who was very old. \"" Stopping Your\nthe man\nbehaviour. Dangles shouted to the man. though didn't noticed him. Doughs.\nrushed into the front of the woman and helped her gainst the injuries. The young\nman stopped his assault, thinking her then he looked around the surroundings\nbad been a lot of people. The young man still wanted to say something\nwhere\nleaving out. The woman guituded to Doughs. told him her name and invented\nhim to her home weeks later.\n  Two weeks after the assault, Douglas visited Terri at her home. _ Terri quickly let him in house.\nand downed she site. Tari said that, if you didn't come to help me I would still in the hospitalow.\nDonglas answered. Although I didn't do that. there was other doing that\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas ran the few steps over to them.\n  Thinking that Dauglas was too old to fight, the muscular man\nproceeded to kill the woman for money. Without any scare,\nDouglas ran towards the man bravely, because he knew that he\nwas the woman's only hope. Douglas hit the man with the stick.\nThe man who was beaten was very angry. He pushed Douglas and\nwanted to assault the weak woman. Everyone was nervious and wished\nthe woman could be safe. Without giving up Douglas stood up and\ngone on hitting the man. Fortunately, the man was defeated\ndue to his carelessness. Everyone sighed for a relief.\n  Two weeks after the assault, Douglas visited Terri at her home. Terri was grateful to Danglas.\nWithout Dougles, nobody knew what would happen. Terri asked if Douglas\nwas ok. Douglas said that it only minor injuries. And then Danglas\nreminded Terri that when being out oneself, you should be more\ncareful. Terri noded and kissed Douglas for apology. Douglas felt that\nanything was rewarding.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas ran the few steps over io them.\n  He stopped the man and took the woman to the hospital.\n  Two weeks after the assault, Douglas visited Terri at her home. _ _ 'I Are you all right? \""\nDanglas asked Thanks for your help. \"" Terri replied.\nis\n  You are so barvely and helpful.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas ran the few steps over to them.\n  Because Doughs learnt some Kongfu, he fought against\nthem to put the assaulted woman under his protection.\nExcellent as his Kongtu was, he fought against three men\nwas still so hard. Some bus passengers saw his\ndangeroug condition and came to help him against three men\nAnd the other bus passengers tried to call policemen for\nhelp when police arrive the accident spot, three men\nhad been controlled and the woman had been\ntransported to the hospital.\n  Two weeks after the assault, Douglas visited Terri at her home. Douglas brought some\nfruit to paid a visit to her. Terri was so gratitude\nto Douglas who helped her from accoulting and responded\nto Dauglas that she recovered all right. Douglay told\nhe to be suspect to other people. It was not\nDouglas and the bus passengers help that she realized though\nthe world has urgily people but also has many kind\npeople to help helpless people.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction siie nearby. Douglas ran the few steps over to them.\n  Shout the young man and try to stop him. He looked at\nThe man severely and worried about the woman. The man looked up\nagain and stopped, then he rushed to Douglas and tried to\nassaylt him. At that moment, the woman on the ground\nwith blood bleeding said \"" Stop! \"" which sound like a cot\njust born. The young man suddenly turned ground, tried to assault\nthe woman again. Fortunately, people on the bus got off all together.\nand helpedDanglas catch the young man. The woman was\nsaved.\n  Two weeks after the assault, Douglas visited Terri at her home.\n"""
"""  He grabbed a heavy four-foot-iong stick from a construction site nearby. Douglas ran the few steps over to them.\nIt was a long and hard way. Being unable to concentrate in\n  I kept sneaking glances at the man. Knowing that I had\nto face the robber, I plodded to the man and stood before\nhim, with my fists clenched and heart pounding in the chest\n  At the next moment. I knocked down the young man and\nhelp the woman. escaped from the danger\n  Two weeks after the assault, Douglas visited Terri at her home.\n"""
"""  He grabbed a neavy four-foot-iong stick from a construction site nearby. Dougias tan the few steps over to them.\n- He tried his best the woman With a\nI few minutes later, the tracking man was defeated. And.\nthen, the police arrived and took the man to police\nstation. Douglas turned around, asked \"" How are you,\nnow can I calling \"" Terri \"" the woman said with\ntired voice. \"" I'm sorry that I trapped you here.\ncan\nyou tell where you are living? ' said.\n  Two weeks after the assault, Douglas visited Terri at her home At once Terri opened\nthe door, Douglas gave a basket of fait\nto her. \"" I wanted to say for the two weeks\nago, I just want to make you convinced. \""\nTem' smiled, she said she didn't care, she\nwas thankful for was touched,\nbe the kindness between is just like this\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few steps over to them.\n  At that time when the man found his approchment. He\nturned back and prepared to burned him immediately. Contrary\nto the muscular man, Dough as was thin. The man stopped\nhis assault to the woman but he started to fight with\nDouglas. At first, Douglas was not in advantage because\nthe fighten was too dangrous. But after a few\ntook advantages over the\nminutes. Pouglas gradually\nman. Regradless of the danger. Donglas took the woman\nin perison\nout off the possibility of being killed. The man was set into the\n  Two weeks after the assault, Douglas visited Terri at her home. _ Terri express her thanks\nthat time. \"" If you have not saved\nfor his help\n\"" It's my and\nme, I would be killed at that time\nresponsibility I must help people inneed. \"" The words\ntouched Terri, Hearing the words, \"" tears rowed down\nbe checks. It was Dong as that took the woman\nout of danger with his bravery\n"""
"""  He grabbed a heavy four-foot-long stick from a consiruction site nearby. Dougias ran the few steps over to them.\n  The man still continued his assault. and seems not to notice Donglas.\nDanglas ran them quickly. putting the stick between them\nThe man was Asurprised that Pougles was so brave. But Dauglas was\nan old man. The man didn't put him in his mind Dangles stopped the\nman's assault. The man became angry and came To attrach Dougles.\nDaylas used the stick attrach the man heavily.\nIt waseasy that the man was failed. Dongles called for 120\nand looked after the woman who lied on the ground. The\nwoman was taken to the hospital quickly\n  Two weeks after the assult, Douglas visited Terri at her home. Terri had been fine.\nWhen she saw Dongles, she couldn't help to crying. Terri wouldn't\nlive without Dangles's help. She didn't know how to thin\nPongles said \"" I just do what i should do? Soon the news\nreported Daugles's action. A lot of people come to visit him.\nDangles was just a bus driver. But his bravery influenced a lot of\nyoung people\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few steps over to them.\n  He dashed out like an arrow. Then he tried his best\nto hit the muscular young man in order to protect the\nwoman who was robbed from being attacked. So astonished\nand nervous was the bus passengers that they rooted to\nthe bus, hoping that Douglas could succeed in protecting the\nwoman without being hurt. Seeing that the old driver was\nattacked by the young man and bleeded heavily. June lamet\ncouldn't help jumping out the bus to help Douglas. Then other\npassengers also went to help theold man to hit the robber.\n  Two yeeks after the assault, Douglas visited Terri at her home Watching Douglas was\ncured\nfrom the hoptial, Terri breathed a sigh of relief.\nThank you very much! \"" Terri hugged Dongles\nwith the tears dropping out. How brave Doughs was\nto help the woman without thinking\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few steps over to them.\n  He tried his best to iron the young man's stomach\nto stop the young man. Fourtunately, it worked well.\nThe young man fell and lay on the ground. Then,\nhe pointed at the young man's head by stick in\norder to control him. To his relief, two of the passengers\nran to here to help him deal with the theft. He\nscreamed at the two passengers to call the police and hospital\nto tackle theyoung man and the wounded woman. After\nthey arrived. Dongles retured to the bus and continued his daily work.\n  Two weeks after the assault, Douglas visited Terri at her home. Douglas found that she\nwas out of danger and ever healthy as before. Not only Terri's\nphysic health but also her mental health made her relieve.\nTerri said thanks to Douglas. It was Douglas' help that\nkept her out of danger. It was not on his\nroute, but his sense of responsibility made his change\nhis route, and saved the woman from danger.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few steps over to them.\n  At that moment, they got off the bus and ran to the woman\nThey thought an idea to help the woman. Pangles assault the\nrob. At last, they left the rob away. The woman thanked\nthem very much. \"" If you don't help me, my mallet\nor\nmust be Stolen out. I will always remember your help. \""\n  Two weeks after the assult, Douglas visited Terri at her home. Douglas said the\nassault, Terri thanked Penglas.\n"""
"""  He grabbed a heavy four-foot-iong stick from a construction site nearby. Dougias ran the few steps over to them.\nWithout hesitation, Dauglas dashed out like an arrow to the man who are\nassaulting the woman. Regardless of his age, he used all his strength to hand the\nstick and made the man run away, The woman expressed her sincere gratitude\nto Danglas's unselfness help. However, at the same time, when the woman found\nhispostcard on his uniform, she smiled to Douglas and let he visit her home\nand told Doughas her name is Terri.\n  Two weeks after the assault, Douglas visited Terri at her home. _ _ confused as he was, he decided\nto visit Terri at last. After he entered her home, he found that Terri was\nwaiting for he. Sensing his reluctance, Terri said \"". Now let me express\nmyself, the boss of the MARIA. Danglas stared at her in disbelief, so surprised\nwas him that his mind went blank all of a sudden. After that, Temi promised him\nto give he a better job and thank for him again. It drawed on him that if you\ngive more love for others, the more you will get from others,\n"""
"""  He grabbed a heavy four-foot-iong stick from a construction site nearby. Douglas ran the few sieps over to them.\n  Then, he protected the woman from the man's assault and also used his\nfour - foot-long stick to hit the man. The man saw the condition and immediately\nturned back to run away, Paglas wanted to cunatter thetheft, but the\ngra\nwoman stopped him and said Thank youfor your help, I'm Teri. If you\ndon't come to help me, I may be killed by him. Who are you? \"" Douglas answered\nup the riding\nquickly. \"" Lan you come to my home so that I can thank you. \"" Terria asked with\na smile.\n  Two weeks after the assault, Douglas visited Terri home... Erri cooked a table of good foo\nto treat him. \"" You are the bravest. And the man has been caught by policeman,\nmy wallet has also come back to me But why you can find me. I go to\ncheck your information and find that you don't need to drive to here.\nWhy? Douglas shocked, he said I saw a man staring you and walking\nafter you without kindness. I planned to followed him, so I looked the moment.\nTerri nodded and said. \"" Sorry, I don't know\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas ran the few steps over to them.\n  But the man still continued his assault. Douglas plucked\nup his courage to shout \"" Stop! \"" The man saw her coming, got\nrid of the woman, taking the wallet and running. Danglars called\nthe police right now. Then, he rushed the woman to check\nher. She was lying on the road with all bodies of the signs\nof knife. Donglas called on the bus passengars to help her. And,\nthrough her identity card, he knowed her name is Torri.\n  Two weeks after the assault, Douglas visited Terri at her home. Terri was happy to welcome\nhis coming. She was grateful for his bravery and behavir. And,\nDoughs told her that the man who assaulted her had been put\nIn prison\n"""
"""  He grabbed a neavy four-foot-long stick from a consiruction siic nearby. Dougias ran the few sieps over to them.\nThen the man noticed Douglas and stopped assault the\nwoman and wanted to run out, Douglas quickly catched\nhim but the man started to him, the passengers\nwho were strong then to help, some of them called the 120\nothers help Daughas or the woman who was in danger,\nAfter a minute, the man was catched by four people\nand the women was quickly been saved by the doctor\nwho got here quickly. Hen to the hospital. Douglas knee\nthe woman named Terri after.\n  Two weeks after the assault, Douglas visited Terri at her home Terri became much\nmore helther than two weeks ago, through some sign\nwhich were assault still clear, but Terri was happy\nshe saved a life. Douglas talked with Terri and\nthey quickly became friend, Terri very Hunked Doughs\nwas the first man who came to help her, Douglas\nsmiled, also Terrids, After then Ferri was very\nCareful about other streng and learn some\ntechnowledge to protect herself.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas ran the few isieps over to them.\n\"" Stop! \"", he holding the stick shouted at the young man. Then\nyoung man glanced at him. still assaulting. Douglas felt a sense of\nanger flooded over him. He trembled. holding the stick tightly and\ntrying to a hit the man. At that moment, some police rushed here\nand catched the man who was still It was June Tarrett, the\npassenger that called the police. Amulance also came. Some doctors took\naway the poor and bleeding woman. Dougla took a deep breath went back to\nthe bus\n  Two weeks after the assault, Douglas visited Terri at her home. Lerri was the woman who was\nassaulted that day. She lied on the bed. disabled to move.\nTerri said she was very thankful to him as he helped her that day.\nThe bad man was put into prison now. Douglas smiled to her. Suddenly\nTerri took out a small box giving it to Dangla, \"" I don't know\nhow to show my gratefulness, it's a small gifts. \"" Donglas opened it, surprised\n  Loav\n  I to see a card in it. \"" It's for your and kindness. \"" Daughas held\nbrave\nback the box. \"" But is worthless, mudam \"" Terri smiled.\nShe now known the meaning of bravery\n"""
"""  He grabbed a neavy four-foot-iong stick from a construction site nearby. Douglas ran the few steps over to them.\nThe man was cry, sohe wanted to run away, But Douglas was strong, he quickly ran\non the text of the man, he fighted with the man, Long time away, Donglas has won\ntheman, and got the wallet the people on the street was appluding\nhim because of his kindness, But when he come back, the fallen in\nSome quickly turn him into the hospital.\n  Two weeks after the assault, Douglas visited Terri at her home. _ Leri saw him, and histear couldn't\nstop. Thank you very much, you are my superber. I don't know what the next\nto do it don't have the walket. \"" Donglus also very happy because of his cognable\nof fighting for the woman. He said : \"" No matter, this is what I should do, you are\nOnly sate, that's OK. \""\n"""
